PO Code,Created,Type,PO Created By,PO Approved Date,Delivery Date,Item Type Name,Item SkuCode,Category,HSN Code,GST Tax Type Code,Vendor Name,Vendor Code,Vendor SkuCode,Order Quantity,Recieved Quantity,Rejected Quantity,Pending Quantity,PO Ageing (Days),% Pending,% Rejection,Facility,Unit Price,Sub Total,CGST,IGST,SGST,UTGST,CESS,CGST Rate,IGST Rate,SGST Rate,UTGST Rate,CESS Rate,Total,Purchase Order Status,Rejection Reason,Updated
SSI-PO-13102023,2023-10-13 09:18:35,Manual,gourav.dayma@marketingking.online,2023-11-06 13:08:32,2023-10-23,MTOSSI,17001010,Men Slip-On Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8001BRNSIZE10,12,12,0,0,73,0.0000,0.0000,MKOPL_FC,420.00,5040.00,0.00,604.80,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,5644.80,APPROVED,,2023-11-06 13:08:32
SSI-PO-13102023,2023-10-13 09:18:35,Manual,gourav.dayma@marketingking.online,2023-11-06 13:08:32,2023-10-23,MTOSSI,17003009,Men Lace-Up Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8003D.BRNSIZE9,1,1,0,0,73,0.0000,0.0000,MKOPL_FC,420.00,420.00,0.00,50.40,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,470.40,APPROVED,,2023-11-06 13:08:32
SSI-PO-13102023,2023-10-13 09:18:35,Manual,gourav.dayma@marketingking.online,2023-11-06 13:08:32,2023-10-23,MTOSSI,17005008,Men Lace-Up Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8002BRNSIZE8,1,0,0,1,73,100.0000,0.0000,MKOPL_FC,420.00,420.00,0.00,50.40,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,470.40,APPROVED,,2023-11-06 13:08:32
SSI-PO-16102023,2023-10-16 10:15:30,Manual,gourav.dayma@marketingking.online,2023-11-06 13:07:57,2023-10-26,MTOSSI,17001007,Men Slip-On Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8001BRNSIZE7,19,19,0,0,70,0.0000,0.0000,MKOPL_FC,420.00,7980.00,0.00,957.60,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,8937.60,APPROVED,,2023-11-06 13:07:57
SSI-PO-16102023,2023-10-16 10:15:30,Manual,gourav.dayma@marketingking.online,2023-11-06 13:07:57,2023-10-26,MTOSSI,17001008,Men Slip-On Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8001BRNSIZE8,35,35,0,0,70,0.0000,0.0000,MKOPL_FC,420.00,14700.00,0.00,1764.00,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,16464.00,APPROVED,,2023-11-06 13:07:57
SSI-PO-16102023,2023-10-16 10:15:30,Manual,gourav.dayma@marketingking.online,2023-11-06 13:07:57,2023-10-26,MTOSSI,17001009,Men Slip-On Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8001BRNSIZE9,19,19,0,0,70,0.0000,0.0000,MKOPL_FC,420.00,7980.00,0.00,957.60,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,8937.60,APPROVED,,2023-11-06 13:07:57
SSI-PO-16102023,2023-10-16 10:15:30,Manual,gourav.dayma@marketingking.online,2023-11-06 13:07:57,2023-10-26,MTOSSI,17001010,Men Slip-On Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8001BRNSIZE10,17,14,0,3,70,17.6471,0.0000,MKOPL_FC,420.00,7140.00,0.00,856.80,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,7996.80,APPROVED,,2023-11-06 13:07:57
SSI-PO-16102023,2023-10-16 10:15:30,Manual,gourav.dayma@marketingking.online,2023-11-06 13:07:57,2023-10-26,MTOSSI,17003007,Men Lace-Up Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8003D.BRNSIZE7,1,1,0,0,70,0.0000,0.0000,MKOPL_FC,420.00,420.00,0.00,50.40,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,470.40,APPROVED,,2023-11-06 13:07:57
SSI-PO-16102023,2023-10-16 10:15:30,Manual,gourav.dayma@marketingking.online,2023-11-06 13:07:57,2023-10-26,MTOSSI,17003008,Men Lace-Up Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8003D.BRNSIZE8,8,0,0,8,70,100.0000,0.0000,MKOPL_FC,420.00,3360.00,0.00,403.20,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,3763.20,APPROVED,,2023-11-06 13:07:57
SSI-PO-16102023,2023-10-16 10:15:30,Manual,gourav.dayma@marketingking.online,2023-11-06 13:07:57,2023-10-26,MTOSSI,17003009,Men Lace-Up Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8003D.BRNSIZE9,5,0,0,5,70,100.0000,0.0000,MKOPL_FC,420.00,2100.00,0.00,252.00,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,2352.00,APPROVED,,2023-11-06 13:07:57
SSI-PO-16102023,2023-10-16 10:15:30,Manual,gourav.dayma@marketingking.online,2023-11-06 13:07:57,2023-10-26,MTOSSI,17003010,Men Lace-Up Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8003D.BRNSIZE10,3,0,0,3,70,100.0000,0.0000,MKOPL_FC,420.00,1260.00,0.00,151.20,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,1411.20,APPROVED,,2023-11-06 13:07:57
SSI-PO-16102023,2023-10-16 10:15:30,Manual,gourav.dayma@marketingking.online,2023-11-06 13:07:57,2023-10-26,MTOSSI,17002006,Men Lace-Up Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8002TANSIZE6,3,0,0,3,70,100.0000,0.0000,MKOPL_FC,420.00,1260.00,0.00,151.20,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,1411.20,APPROVED,,2023-11-06 13:07:57
SSI-PO-16102023,2023-10-16 10:15:30,Manual,gourav.dayma@marketingking.online,2023-11-06 13:07:57,2023-10-26,MTOSSI,17002007,Men Lace-Up Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8002TANSIZE7,1,0,0,1,70,100.0000,0.0000,MKOPL_FC,420.00,420.00,0.00,50.40,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,470.40,APPROVED,,2023-11-06 13:07:57
SSI-PO-16102023,2023-10-16 10:15:30,Manual,gourav.dayma@marketingking.online,2023-11-06 13:07:57,2023-10-26,MTOSSI,17002008,Men Lace-Up Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8002TANSIZE8,3,3,0,0,70,0.0000,0.0000,MKOPL_FC,420.00,1260.00,0.00,151.20,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,1411.20,APPROVED,,2023-11-06 13:07:57
SSI-PO-16102023,2023-10-16 10:15:30,Manual,gourav.dayma@marketingking.online,2023-11-06 13:07:57,2023-10-26,MTOSSI,17002009,Men Lace-Up Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8002TANSIZE9,2,0,0,2,70,100.0000,0.0000,MKOPL_FC,420.00,840.00,0.00,100.80,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,940.80,APPROVED,,2023-11-06 13:07:57
SSI-PO-16102023,2023-10-16 10:15:30,Manual,gourav.dayma@marketingking.online,2023-11-06 13:07:57,2023-10-26,MTOSSI,17002010,Men Lace-Up Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8002TANSIZE10,1,0,0,1,70,100.0000,0.0000,MKOPL_FC,420.00,420.00,0.00,50.40,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,470.40,APPROVED,,2023-11-06 13:07:57
SSI-PO-16102023,2023-10-16 10:15:30,Manual,gourav.dayma@marketingking.online,2023-11-06 13:07:57,2023-10-26,MTOSSI,17005007,Men Lace-Up Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8002BRNSIZE7,2,0,0,2,70,100.0000,0.0000,MKOPL_FC,420.00,840.00,0.00,100.80,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,940.80,APPROVED,,2023-11-06 13:07:57
SSI-PO-16102023,2023-10-16 10:15:30,Manual,gourav.dayma@marketingking.online,2023-11-06 13:07:57,2023-10-26,MTOSSI,17005008,Men Lace-Up Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8002BRNSIZE8,2,0,0,2,70,100.0000,0.0000,MKOPL_FC,420.00,840.00,0.00,100.80,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,940.80,APPROVED,,2023-11-06 13:07:57
SSI-PO-16102023,2023-10-16 10:15:30,Manual,gourav.dayma@marketingking.online,2023-11-06 13:07:57,2023-10-26,MTOSSI,17005009,Men Lace-Up Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8002BRNSIZE9,4,0,0,4,70,100.0000,0.0000,MKOPL_FC,420.00,1680.00,0.00,201.60,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,1881.60,APPROVED,,2023-11-06 13:07:57
SSI-PO-16102023,2023-10-16 10:15:30,Manual,gourav.dayma@marketingking.online,2023-11-06 13:07:57,2023-10-26,MTOSSI,17005010,Men Lace-Up Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8002BRNSIZE10,1,0,0,1,70,100.0000,0.0000,MKOPL_FC,420.00,420.00,0.00,50.40,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,470.40,APPROVED,,2023-11-06 13:07:57
SSI-PO-17102023,2023-10-17 07:39:06,Manual,gourav.dayma@marketingking.online,2023-11-10 11:38:54,2023-10-27,MTOSSI,17001006,Men Slip-On Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8001BRNSIZE6,4,4,0,0,69,0.0000,0.0000,MKOPL_FC,420.00,1680.00,0.00,201.60,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,1881.60,APPROVED,,2023-11-10 11:38:54
SSI-PO-17102023,2023-10-17 07:39:06,Manual,gourav.dayma@marketingking.online,2023-11-10 11:38:54,2023-10-27,MTOSSI,17001007,Men Slip-On Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8001BRNSIZE7,4,4,0,0,69,0.0000,0.0000,MKOPL_FC,420.00,1680.00,0.00,201.60,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,1881.60,APPROVED,,2023-11-10 11:38:54
SSI-PO-17102023,2023-10-17 07:39:06,Manual,gourav.dayma@marketingking.online,2023-11-10 11:38:54,2023-10-27,MTOSSI,17001008,Men Slip-On Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8001BRNSIZE8,14,14,0,0,69,0.0000,0.0000,MKOPL_FC,420.00,5880.00,0.00,705.60,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,6585.60,APPROVED,,2023-11-10 11:38:54
SSI-PO-17102023,2023-10-17 07:39:06,Manual,gourav.dayma@marketingking.online,2023-11-10 11:38:54,2023-10-27,MTOSSI,17001010,Men Slip-On Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8001BRNSIZE10,2,2,0,0,69,0.0000,0.0000,MKOPL_FC,420.00,840.00,0.00,100.80,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,940.80,APPROVED,,2023-11-10 11:38:54
SSI-PO-17102023,2023-10-17 07:39:06,Manual,gourav.dayma@marketingking.online,2023-11-10 11:38:54,2023-10-27,MTOSSI,17002006,Men Lace-Up Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8002TANSIZE6,1,1,0,0,69,0.0000,0.0000,MKOPL_FC,420.00,420.00,0.00,50.40,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,470.40,APPROVED,,2023-11-10 11:38:54
SSI-PO-17102023,2023-10-17 07:39:06,Manual,gourav.dayma@marketingking.online,2023-11-10 11:38:54,2023-10-27,MTOSSI,17002008,Men Lace-Up Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8002TANSIZE8,1,1,0,0,69,0.0000,0.0000,MKOPL_FC,420.00,420.00,0.00,50.40,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,470.40,APPROVED,,2023-11-10 11:38:54
SSI-PO-17102023,2023-10-17 07:39:06,Manual,gourav.dayma@marketingking.online,2023-11-10 11:38:54,2023-10-27,MTOSSI,17005007,Men Lace-Up Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8002BRNSIZE7,1,0,0,1,69,100.0000,0.0000,MKOPL_FC,420.00,420.00,0.00,50.40,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,470.40,APPROVED,,2023-11-10 11:38:54
SSI-PO-17102023,2023-10-17 07:39:06,Manual,gourav.dayma@marketingking.online,2023-11-10 11:38:54,2023-10-27,MTOSSI,17005009,Men Lace-Up Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8002BRNSIZE9,4,0,0,4,69,100.0000,0.0000,MKOPL_FC,420.00,1680.00,0.00,201.60,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,1881.60,APPROVED,,2023-11-10 11:38:54
SSI-PO-17102023,2023-10-17 07:39:06,Manual,gourav.dayma@marketingking.online,2023-11-10 11:38:54,2023-10-27,MTOSSI,17005010,Men Lace-Up Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8002BRNSIZE10,2,0,0,2,69,100.0000,0.0000,MKOPL_FC,420.00,840.00,0.00,100.80,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,940.80,APPROVED,,2023-11-10 11:38:54
SSI-PO-20102023,2023-11-22 22:51:51,Manual,gourav.dayma@marketingking.online,,2023-10-30,MTOSSI,17001007,Men Slip-On Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8001BRNSIZE7,6,0,0,6,33,100.0000,0.0000,MKOPL_FC,420.00,2520.00,0.00,302.40,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,2822.40,CREATED,,2023-11-22 22:51:51
SSI-PO-20102023,2023-11-22 22:51:51,Manual,gourav.dayma@marketingking.online,,2023-10-30,MTOSSI,17001008,Men Slip-On Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8001BRNSIZE8,13,0,0,13,33,100.0000,0.0000,MKOPL_FC,420.00,5460.00,0.00,655.20,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,6115.20,CREATED,,2023-11-22 22:51:51
SSI-PO-20102023,2023-11-22 22:51:51,Manual,gourav.dayma@marketingking.online,,2023-10-30,MTOSSI,17001009,Men Slip-On Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8001BRNSIZE9,8,0,0,8,33,100.0000,0.0000,MKOPL_FC,420.00,3360.00,0.00,403.20,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,3763.20,CREATED,,2023-11-22 22:51:51
SSI-PO-20102023,2023-11-22 22:51:51,Manual,gourav.dayma@marketingking.online,,2023-10-30,MTOSSI,17001010,Men Slip-On Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8001BRNSIZE10,3,0,0,3,33,100.0000,0.0000,MKOPL_FC,420.00,1260.00,0.00,151.20,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,1411.20,CREATED,,2023-11-22 22:51:51
SSI-PO-20102023,2023-11-22 22:51:51,Manual,gourav.dayma@marketingking.online,,2023-10-30,MTOSSI,17003008,Men Lace-Up Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8003D.BRNSIZE8,3,0,0,3,33,100.0000,0.0000,MKOPL_FC,420.00,1260.00,0.00,151.20,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,1411.20,CREATED,,2023-11-22 22:51:51
SSI-PO-20102023,2023-11-22 22:51:51,Manual,gourav.dayma@marketingking.online,,2023-10-30,MTOSSI,17002008,Men Lace-Up Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8002TANSIZE8,1,0,0,1,33,100.0000,0.0000,MKOPL_FC,420.00,420.00,0.00,50.40,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,470.40,CREATED,,2023-11-22 22:51:51
SSI-PO-20102023,2023-11-22 22:51:51,Manual,gourav.dayma@marketingking.online,,2023-10-30,MTOSSI,17005008,Men Lace-Up Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8002BRNSIZE8,1,0,0,1,33,100.0000,0.0000,MKOPL_FC,420.00,420.00,0.00,50.40,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,470.40,CREATED,,2023-11-22 22:51:51
SSI-PO-20102023,2023-11-22 22:51:51,Manual,gourav.dayma@marketingking.online,,2023-10-30,MTOSSI,17005009,Men Lace-Up Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8002BRNSIZE9,2,0,0,2,33,100.0000,0.0000,MKOPL_FC,420.00,840.00,0.00,100.80,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,940.80,CREATED,,2023-11-22 22:51:51
SSI-PO-21102023,2023-11-22 22:53:15,Manual,gourav.dayma@marketingking.online,2023-12-18 19:36:17,2023-10-31,MTOSSI,17001006,Men Slip-On Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8001BRNSIZE6,7,0,0,7,33,100.0000,0.0000,MKOPL_FC,420.00,2940.00,0.00,352.80,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,3292.80,APPROVED,,2023-12-18 19:36:17
SSI-PO-21102023,2023-11-22 22:53:15,Manual,gourav.dayma@marketingking.online,2023-12-18 19:36:17,2023-10-31,MTOSSI,17001007,Men Slip-On Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8001BRNSIZE7,7,0,0,7,33,100.0000,0.0000,MKOPL_FC,420.00,2940.00,0.00,352.80,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,3292.80,APPROVED,,2023-12-18 19:36:17
SSI-PO-21102023,2023-11-22 22:53:15,Manual,gourav.dayma@marketingking.online,2023-12-18 19:36:17,2023-10-31,MTOSSI,17001008,Men Slip-On Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8001BRNSIZE8,11,0,0,11,33,100.0000,0.0000,MKOPL_FC,420.00,4620.00,0.00,554.40,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,5174.40,APPROVED,,2023-12-18 19:36:17
SSI-PO-21102023,2023-11-22 22:53:15,Manual,gourav.dayma@marketingking.online,2023-12-18 19:36:17,2023-10-31,MTOSSI,17001009,Men Slip-On Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8001BRNSIZE9,11,7,0,4,33,36.3636,0.0000,MKOPL_FC,420.00,4620.00,0.00,554.40,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,5174.40,APPROVED,,2023-12-18 19:36:17
SSI-PO-21102023,2023-11-22 22:53:15,Manual,gourav.dayma@marketingking.online,2023-12-18 19:36:17,2023-10-31,MTOSSI,17001010,Men Slip-On Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8001BRNSIZE10,5,0,0,5,33,100.0000,0.0000,MKOPL_FC,420.00,2100.00,0.00,252.00,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,2352.00,APPROVED,,2023-12-18 19:36:17
SSI-PO-21102023,2023-11-22 22:53:15,Manual,gourav.dayma@marketingking.online,2023-12-18 19:36:17,2023-10-31,MTOSSI,17003008,Men Lace-Up Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8003D.BRNSIZE8,2,0,0,2,33,100.0000,0.0000,MKOPL_FC,420.00,840.00,0.00,100.80,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,940.80,APPROVED,,2023-12-18 19:36:17
SSI-PO-21102023,2023-11-22 22:53:15,Manual,gourav.dayma@marketingking.online,2023-12-18 19:36:17,2023-10-31,MTOSSI,17002008,Men Lace-Up Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8002TANSIZE8,1,0,0,1,33,100.0000,0.0000,MKOPL_FC,420.00,420.00,0.00,50.40,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,470.40,APPROVED,,2023-12-18 19:36:17
SSI-PO-21102023,2023-11-22 22:53:15,Manual,gourav.dayma@marketingking.online,2023-12-18 19:36:17,2023-10-31,MTOSSI,17005008,Men Lace-Up Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8002BRNSIZE8,1,0,0,1,33,100.0000,0.0000,MKOPL_FC,420.00,420.00,0.00,50.40,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,470.40,APPROVED,,2023-12-18 19:36:17
SSI-PO-21102023,2023-11-22 22:53:15,Manual,gourav.dayma@marketingking.online,2023-12-18 19:36:17,2023-10-31,MTOSSI,17005009,Men Lace-Up Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8002BRNSIZE9,1,0,0,1,33,100.0000,0.0000,MKOPL_FC,420.00,420.00,0.00,50.40,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,470.40,APPROVED,,2023-12-18 19:36:17
SSI-PO-23102023,2023-11-22 22:56:13,Manual,gourav.dayma@marketingking.online,,2023-11-02,MTOSSI,17001006,Men Slip-On Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8001BRNSIZE6,3,0,0,3,33,100.0000,0.0000,MKOPL_FC,420.00,1260.00,0.00,151.20,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,1411.20,CREATED,,2023-11-22 22:56:13
SSI-PO-23102023,2023-11-22 22:56:13,Manual,gourav.dayma@marketingking.online,,2023-11-02,MTOSSI,17001007,Men Slip-On Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8001BRNSIZE7,9,0,0,9,33,100.0000,0.0000,MKOPL_FC,420.00,3780.00,0.00,453.60,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,4233.60,CREATED,,2023-11-22 22:56:13
SSI-PO-23102023,2023-11-22 22:56:13,Manual,gourav.dayma@marketingking.online,,2023-11-02,MTOSSI,17001008,Men Slip-On Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8001BRNSIZE8,24,0,0,24,33,100.0000,0.0000,MKOPL_FC,420.00,10080.00,0.00,1209.60,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,11289.60,CREATED,,2023-11-22 22:56:13
SSI-PO-23102023,2023-11-22 22:56:13,Manual,gourav.dayma@marketingking.online,,2023-11-02,MTOSSI,17001009,Men Slip-On Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8001BRNSIZE9,29,0,0,29,33,100.0000,0.0000,MKOPL_FC,420.00,12180.00,0.00,1461.60,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,13641.60,CREATED,,2023-11-22 22:56:13
